Absolute_path;Relative_path;Class
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000001.jpg;кошки\000001.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000002.jpg;кошки\000002.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000003.jpg;кошки\000003.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000004.jpg;кошки\000004.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000005.jpg;кошки\000005.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000006.jpg;кошки\000006.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000007.jpg;кошки\000007.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000008.jpg;кошки\000008.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\кошки\000009.jpg;кошки\000009.jpg;кошки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\собаки\000001.jpg;собаки\000001.jpg;собаки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\собаки\000002.jpg;собаки\000002.jpg;собаки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\собаки\000003.jpg;собаки\000003.jpg;собаки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\собаки\000004.jpg;собаки\000004.jpg;собаки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\собаки\000005.jpg;собаки\000005.jpg;собаки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\собаки\000006.jpg;собаки\000006.jpg;собаки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\собаки\000007.jpg;собаки\000007.jpg;собаки
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\птицы\000001.jpg;птицы\000001.jpg;птицы
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\птицы\000002.jpg;птицы\000002.jpg;птицы
C:\Users\jnnsi\Desktop\lab prog\lab2\dataset\птицы\000003.jpg;птицы\000003.jpg;птицы
